block,network,treatment,day,bug_id,sex,feed_status
1,1,twelve,5,J,male,unfed
1,1,twelve,5,K,male,unfed
1,1,twelve,5,L,male,unfed
1,1,twelve,5,M,female,fed
1,1,twelve,5,N,female,fed
1,1,twelve,5,O,female,unfed
1,1,twelve,5,P,female,fed
1,1,twelve,5,R,female,unfed
1,1,twelve,5,S,female,unfed
1,1,twelve,5,T,female,fed
1,1,twelve,5,U,female,unfed
1,1,twelve,5,V,female,fed
1,1,twelve,5,W,female,fed
1,1,twelve,5,X,female,fed
1,1,twelve,6,A,male,unfed
1,1,twelve,6,B,male,unfed
1,1,twelve,6,C,male,unfed
1,1,twelve,6,D,male,unfed
1,1,twelve,6,E,male,unfed
1,1,twelve,6,F,male,unfed
1,1,twelve,6,G,male,unfed
1,1,twelve,6,H,male,unfed
1,1,twelve,6,I,male,unfed
1,1,twelve,6,J,male,unfed
1,1,twelve,6,K,male,unfed
1,1,twelve,6,L,male,unfed
1,1,twelve,6,M,female,unfed
1,1,twelve,6,N,female,unfed
1,1,twelve,6,O,female,unfed
1,1,twelve,6,P,female,unfed
1,1,twelve,6,R,female,unfed
1,1,twelve,6,S,female,unfed
1,1,twelve,6,T,female,unfed
1,1,twelve,6,U,female,unfed
1,1,twelve,6,V,female,unfed
1,1,twelve,6,W,female,unfed
1,1,twelve,6,X,female,unfed
1,2,two,1,A,male,unfed
1,2,two,1,B,male,unfed
1,2,two,1,C,male,unfed
1,2,two,1,D,male,fed
1,2,two,1,E,male,fed
1,2,two,1,F,male,unfed
1,2,two,1,G,male,fed
1,2,two,1,H,male,unfed
1,2,two,1,I,male,fed
1,2,two,1,J,male,fed
1,2,two,1,K,male,fed
1,2,two,1,L,male,fed
1,2,two,1,M,female,fed
1,2,two,1,N,female,fed
1,2,two,1,O,female,fed
1,2,two,1,P,female,fed
1,2,two,1,Q,female,unfed
1,2,two,1,R,female,fed
1,2,two,1,S,female,fed
1,2,two,1,T,female,fed
1,2,two,1,U,female,unfed
1,2,two,1,V,female,fed
1,2,two,1,W,female,fed
1,2,two,1,X,female,fed
1,2,two,2,A,male,unfed
1,2,two,2,B,male,unfed
1,2,two,2,C,male,unfed
1,2,two,2,D,male,unfed
1,2,two,2,E,male,unfed
1,2,two,2,F,male,unfed
1,2,two,2,G,male,unfed
1,2,two,2,H,male,unfed
1,2,two,2,I,male,unfed
1,2,two,2,J,male,unfed
1,2,two,2,K,male,unfed
1,2,two,2,L,male,unfed
1,2,two,2,M,female,unfed
1,2,two,2,N,female,unfed
1,2,two,2,O,female,unfed
1,2,two,2,P,female,unfed
1,2,two,2,Q,female,unfed
1,2,two,2,R,female,unfed
1,2,two,2,S,female,unfed
1,2,two,2,T,female,unfed
1,2,two,2,U,female,unfed
1,2,two,2,V,female,unfed
1,2,two,2,W,female,unfed
1,2,two,2,X,female,unfed
1,2,two,3,A,male,fed
1,2,two,3,B,male,unfed
1,2,two,3,C,male,fed
1,2,two,3,D,male,unfed
1,2,two,3,E,male,unfed
1,2,two,3,F,male,fed
1,2,two,3,G,male,unfed
1,2,two,3,H,male,unfed
1,2,two,3,I,male,unfed
1,2,two,3,J,male,unfed
1,2,two,3,K,male,unfed
1,2,two,3,L,male,unfed
1,2,two,3,M,female,unfed
1,2,two,3,N,female,unfed
1,2,two,3,O,female,fed
1,2,two,3,P,female,fed
1,2,two,3,Q,female,fed
1,2,two,3,R,female,unfed
1,2,two,3,S,female,unfed
1,2,two,3,T,female,unfed
1,2,two,3,U,female,fed
1,2,two,3,V,female,unfed
1,2,two,3,W,female,unfed
1,2,two,3,X,female,fed
1,2,two,4,A,male,unfed
1,2,two,4,B,male,unfed
1,2,two,4,C,male,unfed
1,2,two,4,D,male,unfed
1,2,two,4,E,male,unfed
1,2,two,4,F,male,unfed
1,2,two,4,G,male,unfed
1,2,two,4,H,male,unfed
1,2,two,4,I,male,unfed
1,2,two,4,J,male,unfed
1,2,two,4,K,male,unfed
1,2,two,4,L,male,unfed
1,2,two,4,M,female,unfed
1,2,two,4,N,female,unfed
1,2,two,4,O,female,unfed
1,2,two,4,P,female,unfed
1,2,two,4,Q,female,unfed
1,2,two,4,R,female,unfed
1,2,two,4,S,female,unfed
1,2,two,4,T,female,unfed
1,2,two,4,U,female,unfed
1,2,two,4,V,female,unfed
1,2,two,4,W,female,unfed
1,2,two,4,X,female,unfed
1,2,two,5,A,male,unfed
1,2,two,5,B,male,unfed
1,2,two,5,C,male,fed
1,2,two,5,D,male,unfed
1,2,two,5,E,male,unfed
1,2,two,5,F,male,fed
1,2,two,5,G,male,unfed
1,2,two,5,H,male,fed
1,2,two,5,I,male,fed
1,2,two,5,J,male,fed
1,2,two,5,K,male,fed
1,2,two,5,L,male,unfed
1,2,two,5,M,female,fed
1,2,two,5,N,female,fed
1,2,two,5,O,female,fed
1,2,two,5,P,female,fed
1,2,two,5,Q,female,fed
1,2,two,5,R,female,fed
1,2,two,5,S,female,fed
1,2,two,5,T,female,fed
1,2,two,5,U,female,unfed
1,2,two,5,V,female,fed
1,2,two,5,W,female,fed
1,2,two,5,X,female,fed
1,2,two,6,A,male,unfed
1,2,two,6,B,male,unfed
1,2,two,6,C,male,unfed
1,2,two,6,D,male,unfed
1,2,two,6,E,male,unfed
1,2,two,6,F,male,unfed
1,2,two,6,G,male,unfed
1,2,two,6,H,male,unfed
1,2,two,6,I,male,unfed
1,2,two,6,J,male,unfed
1,2,two,6,K,male,unfed
1,2,two,6,L,male,unfed
1,2,two,6,M,female,unfed
1,2,two,6,N,female,unfed
1,2,two,6,O,female,unfed
1,2,two,6,P,female,unfed
1,2,two,6,Q,female,unfed
1,2,two,6,R,female,unfed
1,2,two,6,S,female,unfed
1,2,two,6,T,female,unfed
1,2,two,6,U,female,unfed
1,2,two,6,V,female,unfed
1,2,two,6,W,female,unfed
1,2,two,6,X,female,unfed
2,3,twelve,1,B,male,fed
2,3,twelve,1,C,male,unfed
2,3,twelve,1,D,male,unfed
2,3,twelve,1,E,male,fed
2,3,twelve,1,F,male,unfed
2,3,twelve,1,G,male,fed
2,3,twelve,1,H,male,unfed
2,3,twelve,1,I,male,unfed
2,3,twelve,1,J,male,fed
2,3,twelve,1,K,male,fed
2,3,twelve,1,L,male,fed
2,3,twelve,1,M,female,fed
2,3,twelve,1,N,female,fed
2,3,twelve,1,O,female,unfed
2,3,twelve,1,P,female,unfed
2,3,twelve,1,Q,female,unfed
2,3,twelve,1,R,female,fed
2,3,twelve,1,S,female,unfed
2,3,twelve,1,T,female,fed
2,3,twelve,1,U,female,fed
2,3,twelve,1,V,female,fed
2,3,twelve,1,W,female,fed
2,3,twelve,1,X,female,fed
2,3,twelve,2,B,male,unfed
2,3,twelve,2,C,male,unfed
2,3,twelve,2,D,male,unfed
2,3,twelve,2,E,male,unfed
2,3,twelve,2,F,male,unfed
2,3,twelve,2,G,male,unfed
2,3,twelve,2,H,male,unfed
2,3,twelve,2,I,male,unfed
2,3,twelve,2,J,male,unfed
2,3,twelve,2,K,male,unfed
2,3,twelve,2,L,male,unfed
2,3,twelve,2,M,female,unfed
2,3,twelve,2,N,female,unfed
2,3,twelve,2,O,female,unfed
2,3,twelve,2,P,female,unfed
2,3,twelve,2,Q,female,unfed
2,3,twelve,2,R,female,unfed
2,3,twelve,2,S,female,unfed
2,3,twelve,2,T,female,unfed
2,3,twelve,2,U,female,unfed
2,3,twelve,2,V,female,unfed
2,3,twelve,2,W,female,unfed
2,3,twelve,2,X,female,unfed
2,3,twelve,3,B,male,unfed
2,3,twelve,3,C,male,unfed
2,3,twelve,3,D,male,fed
2,3,twelve,3,E,male,unfed
2,3,twelve,3,F,male,unfed
2,3,twelve,3,G,male,unfed
2,3,twelve,3,H,male,unfed
2,3,twelve,3,I,male,unfed
2,3,twelve,3,J,male,unfed
2,3,twelve,3,K,male,unfed
2,3,twelve,3,L,male,unfed
2,3,twelve,3,M,female,fed
2,3,twelve,3,N,female,fed
2,3,twelve,3,O,female,unfed
2,3,twelve,3,P,female,unfed
2,3,twelve,3,Q,female,unfed
2,3,twelve,3,R,female,fed
2,3,twelve,3,S,female,fed
2,3,twelve,3,T,female,fed
2,3,twelve,3,U,female,fed
2,3,twelve,3,V,female,fed
2,3,twelve,3,W,female,fed
2,3,twelve,3,X,female,fed
2,3,twelve,4,B,male,unfed
2,3,twelve,4,C,male,unfed
2,3,twelve,4,D,male,unfed
2,3,twelve,4,E,male,unfed
2,3,twelve,4,F,male,unfed
2,3,twelve,4,G,male,unfed
2,3,twelve,4,H,male,unfed
2,3,twelve,4,I,male,unfed
2,3,twelve,4,J,male,unfed
2,3,twelve,4,K,male,unfed
2,3,twelve,4,L,male,unfed
2,3,twelve,4,M,female,unfed
2,3,twelve,4,N,female,unfed
2,3,twelve,4,O,female,unfed
2,3,twelve,4,P,female,unfed
2,3,twelve,4,Q,female,unfed
2,3,twelve,4,R,female,unfed
2,3,twelve,4,S,female,unfed
2,3,twelve,4,T,female,unfed
2,3,twelve,4,U,female,unfed
2,3,twelve,4,V,female,unfed
2,3,twelve,4,W,female,unfed
2,3,twelve,4,X,female,unfed
2,3,twelve,5,B,male,unfed
2,3,twelve,5,C,male,unfed
2,3,twelve,5,D,male,unfed
2,3,twelve,5,E,male,fed
2,3,twelve,5,F,male,fed
2,3,twelve,5,G,male,unfed
2,3,twelve,5,H,male,unfed
2,3,twelve,5,I,male,fed
2,3,twelve,5,J,male,fed
2,3,twelve,5,K,male,unfed
2,3,twelve,5,L,male,unfed
2,3,twelve,5,M,female,unfed
2,3,twelve,5,N,female,fed
2,3,twelve,5,O,female,unfed
2,3,twelve,5,P,female,unfed
2,3,twelve,5,Q,female,fed
2,3,twelve,5,R,female,unfed
2,3,twelve,5,S,female,fed
2,3,twelve,5,T,female,unfed
2,3,twelve,5,U,female,unfed
2,3,twelve,5,V,female,fed
2,3,twelve,5,W,female,fed
2,3,twelve,6,X,female,fed
2,3,twelve,6,B,male,unfed
2,3,twelve,6,C,male,unfed
2,3,twelve,6,D,male,unfed
2,3,twelve,6,E,male,unfed
2,3,twelve,6,F,male,unfed
2,3,twelve,6,G,male,unfed
2,3,twelve,6,H,male,unfed
2,3,twelve,6,I,male,unfed
2,3,twelve,6,J,male,unfed
2,3,twelve,6,K,male,unfed
2,3,twelve,6,L,male,unfed
2,3,twelve,6,M,female,unfed
2,3,twelve,6,N,female,unfed
2,3,twelve,6,O,female,unfed
2,3,twelve,6,P,female,unfed
2,3,twelve,6,Q,female,unfed
2,3,twelve,6,R,female,unfed
2,3,twelve,6,S,female,unfed
2,3,twelve,6,T,female,unfed
2,3,twelve,6,U,female,unfed
2,3,twelve,6,V,female,unfed
2,3,twelve,6,W,female,unfed
2,3,twelve,6,X,female,unfed
2,4,two,1,A,male,fed
2,4,two,1,B,male,unfed
2,4,two,1,C,male,fed
2,4,two,1,D,male,unfed
2,4,two,1,E,male,fed
2,4,two,1,F,male,fed
2,4,two,1,G,male,fed
2,4,two,1,H,male,fed
2,4,two,1,I,male,fed
2,4,two,1,J,male,fed
2,4,two,1,K,male,fed
2,4,two,1,L,male,fed
2,4,two,1,M,female,fed
2,4,two,1,N,female,fed
2,4,two,1,O,female,unfed
2,4,two,1,P,female,fed
2,4,two,1,Q,female,fed
2,4,two,1,R,female,unfed
2,4,two,1,S,female,fed
2,4,two,1,T,female,unfed
2,4,two,1,U,female,unfed
2,4,two,1,V,female,fed
2,4,two,1,W,female,fed
2,4,two,1,X,female,unfed
2,4,two,2,A,male,unfed
2,4,two,2,B,male,unfed
2,4,two,2,C,male,unfed
2,4,two,2,D,male,unfed
2,4,two,2,E,male,unfed
2,4,two,2,F,male,unfed
2,4,two,2,G,male,unfed
2,4,two,2,H,male,unfed
2,4,two,2,I,male,unfed
2,4,two,2,J,male,unfed
2,4,two,2,K,male,unfed
2,4,two,2,L,male,unfed
2,4,two,2,M,female,unfed
2,4,two,2,N,female,unfed
2,4,two,2,O,female,unfed
2,4,two,2,P,female,unfed
2,4,two,2,Q,female,unfed
2,4,two,2,R,female,unfed
2,4,two,2,S,female,unfed
2,4,two,2,T,female,unfed
2,4,two,2,U,female,unfed
2,4,two,2,V,female,unfed
2,4,two,2,W,female,unfed
2,4,two,2,X,female,unfed
2,4,two,3,A,male,unfed
2,4,two,3,B,male,fed
2,4,two,3,C,male,fed
2,4,two,3,D,male,fed
2,4,two,3,E,male,fed
2,4,two,3,F,male,fed
2,4,two,3,G,male,unfed
2,4,two,3,H,male,unfed
2,4,two,3,I,male,unfed
2,4,two,3,J,male,unfed
2,4,two,3,K,male,unfed
2,4,two,3,L,male,fed
2,4,two,3,M,female,unfed
2,4,two,3,N,female,unfed
2,4,two,3,O,female,unfed
2,4,two,3,P,female,fed
2,4,two,3,Q,female,unfed
2,4,two,3,R,female,fed
2,4,two,3,S,female,fed
2,4,two,3,T,female,fed
2,4,two,3,U,female,fed
2,4,two,3,V,female,fed
2,4,two,3,W,female,unfed
2,4,two,3,X,female,fed
2,4,two,4,A,male,unfed
2,4,two,4,B,male,unfed
2,4,two,4,C,male,unfed
2,4,two,4,D,male,unfed
2,4,two,4,E,male,unfed
2,4,two,4,F,male,unfed
2,4,two,4,G,male,unfed
2,4,two,4,H,male,unfed
2,4,two,4,I,male,unfed
2,4,two,4,J,male,unfed
2,4,two,4,K,male,unfed
2,4,two,4,L,male,unfed
2,4,two,4,M,female,unfed
2,4,two,4,N,female,unfed
2,4,two,4,O,female,unfed
2,4,two,4,P,female,unfed
2,4,two,4,Q,female,unfed
2,4,two,4,R,female,unfed
2,4,two,4,S,female,unfed
2,4,two,4,T,female,unfed
2,4,two,4,U,female,unfed
2,4,two,4,V,female,unfed
2,4,two,4,W,female,unfed
2,4,two,4,X,female,unfed
2,4,two,5,A,male,fed
2,4,two,5,B,male,unfed
2,4,two,5,C,male,unfed
2,4,two,5,D,male,unfed
2,4,two,5,E,male,unfed
2,4,two,5,F,male,unfed
2,4,two,5,G,male,unfed
2,4,two,5,H,male,fed
2,4,two,5,I,male,fed
2,4,two,5,J,male,unfed
2,4,two,5,K,male,fed
2,4,two,5,L,male,unfed
2,4,two,5,M,female,fed
2,4,two,5,N,female,fed
2,4,two,5,O,female,unfed
2,4,two,5,P,female,unfed
2,4,two,5,Q,female,fed
2,4,two,5,R,female,unfed
2,4,two,5,S,female,unfed
2,4,two,5,T,female,fed
2,4,two,5,U,female,fed
2,4,two,5,V,female,fed
2,4,two,5,W,female,fed
2,4,two,6,X,female,unfed
2,4,two,6,A,male,unfed
2,4,two,6,B,male,unfed
2,4,two,6,C,male,unfed
2,4,two,6,D,male,unfed
2,4,two,6,E,male,unfed
2,4,two,6,F,male,unfed
2,4,two,6,G,male,unfed
2,4,two,6,H,male,unfed
2,4,two,6,I,male,unfed
2,4,two,6,J,male,unfed
2,4,two,6,K,male,unfed
2,4,two,6,L,male,unfed
2,4,two,6,M,female,unfed
2,4,two,6,N,female,unfed
2,4,two,6,O,female,unfed
2,4,two,6,P,female,unfed
2,4,two,6,Q,female,unfed
2,4,two,6,R,female,unfed
2,4,two,6,S,female,unfed
2,4,two,6,T,female,unfed
2,4,two,6,U,female,unfed
2,4,two,6,V,female,unfed
2,4,two,6,W,female,unfed
2,4,two,6,X,female,unfed
3,5,two,1,A,male,fed
3,5,two,1,B,male,unfed
3,5,two,1,C,male,fed
3,5,two,1,D,male,fed
3,5,two,1,E,male,fed
3,5,two,1,F,male,unfed
3,5,two,1,G,male,fed
3,5,two,1,H,male,fed
3,5,two,1,J,male,fed
3,5,two,1,K,male,fed
3,5,two,1,L,male,fed
3,5,two,1,M,female,fed
3,5,two,1,N,female,fed
3,5,two,1,O,female,fed
3,5,two,1,P,female,fed
3,5,two,1,Q,female,unfed
3,5,two,1,R,female,unfed
3,5,two,1,S,female,fed
3,5,two,1,T,female,fed
3,5,two,1,U,female,fed
3,5,two,1,V,female,fed
3,5,two,1,W,female,fed
3,5,two,1,X,female,fed
3,5,two,2,A,male,unfed
3,5,two,2,B,male,unfed
3,5,two,2,C,male,unfed
3,5,two,2,D,male,unfed
3,5,two,2,E,male,unfed
3,5,two,2,F,male,unfed
3,5,two,2,G,male,unfed
3,5,two,2,H,male,unfed
3,5,two,2,J,male,unfed
3,5,two,2,K,male,unfed
3,5,two,2,L,male,unfed
3,5,two,2,M,female,unfed
3,5,two,2,N,female,unfed
3,5,two,2,O,female,unfed
3,5,two,2,P,female,unfed
3,5,two,2,Q,female,unfed
3,5,two,2,R,female,unfed
3,5,two,2,S,female,unfed
3,5,two,2,T,female,unfed
3,5,two,2,U,female,unfed
3,5,two,2,V,female,unfed
3,5,two,2,W,female,unfed
3,5,two,2,X,female,unfed
3,5,two,3,A,male,unfed
3,5,two,3,B,male,fed
3,5,two,3,C,male,unfed
3,5,two,3,D,male,unfed
3,5,two,3,E,male,unfed
3,5,two,3,F,male,fed
3,5,two,3,G,male,unfed
3,5,two,3,H,male,unfed
3,5,two,3,J,male,unfed
3,5,two,3,K,male,fed
3,5,two,3,L,male,unfed
3,5,two,3,M,female,unfed
3,5,two,3,N,female,fed
3,5,two,3,O,female,fed
3,5,two,3,P,female,fed
3,5,two,3,Q,female,fed
3,5,two,3,R,female,unfed
3,5,two,3,S,female,unfed
3,5,two,3,T,female,fed
3,5,two,3,U,female,fed
3,5,two,3,V,female,unfed
3,5,two,3,W,female,unfed
3,5,two,3,X,female,unfed
3,5,two,4,A,male,unfed
3,5,two,4,B,male,unfed
3,5,two,4,C,male,unfed
3,5,two,4,D,male,unfed
3,5,two,4,E,male,unfed
3,5,two,4,F,male,unfed
3,5,two,4,G,male,unfed
3,5,two,4,H,male,unfed
3,5,two,4,J,male,unfed
3,5,two,4,K,male,unfed
3,5,two,4,L,male,unfed
3,5,two,4,M,female,unfed
3,5,two,4,N,female,unfed
3,5,two,4,O,female,unfed
3,5,two,4,P,female,unfed
3,5,two,4,Q,female,unfed
3,5,two,4,R,female,unfed
3,5,two,4,S,female,unfed
3,5,two,4,T,female,unfed
3,5,two,4,U,female,unfed
3,5,two,4,V,female,unfed
3,5,two,4,W,female,unfed
3,5,two,4,X,female,unfed
3,5,two,5,A,male,unfed
3,5,two,5,B,male,unfed
3,5,two,5,C,male,unfed
3,5,two,5,D,male,unfed
3,5,two,5,E,male,unfed
3,5,two,5,F,male,unfed
3,5,two,5,G,male,fed
3,5,two,5,H,male,fed
3,5,two,5,J,male,unfed
3,5,two,5,K,male,unfed
3,5,two,5,L,male,fed
3,5,two,5,M,female,unfed
3,5,two,5,N,female,fed
3,5,two,5,O,female,fed
3,5,two,5,P,female,fed
3,5,two,5,Q,female,fed
3,5,two,5,R,female,unfed
3,5,two,5,S,female,fed
3,5,two,5,T,female,fed
3,5,two,5,U,female,fed
3,5,two,5,V,female,fed
3,5,two,5,W,female,fed
3,5,two,5,X,female,fed
3,5,two,6,A,male,unfed
3,5,two,6,B,male,unfed
3,5,two,6,C,male,unfed
3,5,two,6,D,male,unfed
3,5,two,6,E,male,unfed
3,5,two,6,F,male,unfed
3,5,two,6,G,male,unfed
3,5,two,6,H,male,unfed
3,5,two,6,J,male,unfed
3,5,two,6,K,male,unfed
3,5,two,6,L,male,unfed
3,5,two,6,M,female,unfed
3,5,two,6,N,female,unfed
3,5,two,6,O,female,unfed
3,5,two,6,P,female,unfed
3,5,two,6,Q,female,unfed
3,5,two,6,R,female,unfed
3,5,two,6,S,female,unfed
3,5,two,6,T,female,unfed
3,5,two,6,U,female,unfed
3,5,two,6,V,female,unfed
3,5,two,6,W,female,unfed
3,5,two,6,X,female,unfed
3,6,two,1,A,male,fed
3,6,two,1,B,male,fed
3,6,two,1,C,male,fed
3,6,two,1,D,male,unfed
3,6,two,1,E,male,unfed
3,6,two,1,F,male,fed
3,6,two,1,G,male,fed
3,6,two,1,H,male,unfed
3,6,two,1,I,male,unfed
3,6,two,1,J,male,fed
3,6,two,1,K,male,fed
3,6,two,1,L,male,fed
3,6,two,1,M,female,fed
3,6,two,1,N,female,fed
3,6,two,1,O,female,fed
3,6,two,1,P,female,unfed
3,6,two,1,Q,female,fed
3,6,two,1,R,female,fed
3,6,two,1,S,female,fed
3,6,two,1,T,female,fed
3,6,two,1,U,female,fed
3,6,two,1,V,female,unfed
3,6,two,1,W,female,fed
3,6,two,1,X,female,fed
3,6,two,2,A,male,unfed
3,6,two,2,B,male,unfed
3,6,two,2,C,male,unfed
3,6,two,2,D,male,unfed
3,6,two,2,E,male,unfed
3,6,two,2,F,male,unfed
3,6,two,2,G,male,unfed
3,6,two,2,H,male,unfed
3,6,two,2,I,male,unfed
3,6,two,2,J,male,unfed
3,6,two,2,K,male,unfed
3,6,two,2,L,male,unfed
3,6,two,2,M,female,unfed
3,6,two,2,N,female,unfed
3,6,two,2,O,female,unfed
3,6,two,2,P,female,unfed
3,6,two,2,Q,female,unfed
3,6,two,2,R,female,unfed
3,6,two,2,S,female,unfed
3,6,two,2,T,female,unfed
3,6,two,2,U,female,unfed
3,6,two,2,V,female,unfed
3,6,two,2,W,female,unfed
3,6,two,2,X,female,unfed
3,6,two,3,A,male,unfed
3,6,two,3,B,male,unfed
3,6,two,3,C,male,unfed
3,6,two,3,D,male,unfed
3,6,two,3,E,male,fed
3,6,two,3,F,male,unfed
3,6,two,3,G,male,unfed
3,6,two,3,H,male,fed
3,6,two,3,I,male,unfed
3,6,two,3,J,male,fed
3,6,two,3,K,male,unfed
3,6,two,3,L,male,unfed
3,6,two,3,M,female,fed
3,6,two,3,N,female,unfed
3,6,two,3,O,female,fed
3,6,two,3,P,female,fed
3,6,two,3,Q,female,fed
3,6,two,3,R,female,fed
3,6,two,3,S,female,fed
3,6,two,3,T,female,fed
3,6,two,3,U,female,fed
3,6,two,3,V,female,fed
3,6,two,3,W,female,fed
3,6,two,3,X,female,unfed
3,6,two,4,A,male,unfed
3,6,two,4,B,male,unfed
3,6,two,4,C,male,unfed
3,6,two,4,D,male,unfed
3,6,two,4,E,male,unfed
3,6,two,4,F,male,unfed
3,6,two,4,G,male,unfed
3,6,two,4,H,male,unfed
3,6,two,4,I,male,unfed
3,6,two,4,J,male,unfed
3,6,two,4,K,male,unfed
3,6,two,4,L,male,unfed
3,6,two,4,M,female,unfed
3,6,two,4,N,female,unfed
3,6,two,4,O,female,unfed
3,6,two,4,P,female,unfed
3,6,two,4,Q,female,unfed
3,6,two,4,R,female,unfed
3,6,two,4,S,female,unfed
3,6,two,4,T,female,unfed
3,6,two,4,U,female,unfed
3,6,two,4,V,female,unfed
3,6,two,4,W,female,unfed
3,6,two,4,X,female,unfed
3,6,two,5,A,male,unfed
3,6,two,5,B,male,unfed
3,6,two,5,C,male,unfed
3,6,two,5,D,male,unfed
3,6,two,5,E,male,unfed
3,6,two,5,F,male,fed
3,6,two,5,G,male,unfed
3,6,two,5,H,male,unfed
3,6,two,5,I,male,unfed
3,6,two,5,J,male,unfed
3,6,two,5,K,male,unfed
3,6,two,5,L,male,fed
3,6,two,5,M,female,unfed
3,6,two,5,N,female,fed
3,6,two,5,O,female,fed
3,6,two,5,P,female,unfed
3,6,two,5,Q,female,fed
3,6,two,5,R,female,fed
3,6,two,5,S,female,fed
3,6,two,5,T,female,fed
3,6,two,5,U,female,fed
3,6,two,5,V,female,unfed
3,6,two,5,W,female,fed
3,6,two,5,X,female,fed
3,6,two,6,A,male,unfed
3,6,two,6,B,male,unfed
3,6,two,6,C,male,unfed
3,6,two,6,D,male,unfed
3,6,two,6,E,male,unfed
3,6,two,6,F,male,unfed
3,6,two,6,G,male,unfed
3,6,two,6,H,male,unfed
3,6,two,6,I,male,unfed
3,6,two,6,J,male,unfed
3,6,two,6,K,male,unfed
3,6,two,6,L,male,unfed
3,6,two,6,M,female,unfed
3,6,two,6,N,female,unfed
3,6,two,6,O,female,unfed
3,6,two,6,P,female,unfed
3,6,two,6,Q,female,unfed
3,6,two,6,R,female,unfed
3,6,two,6,S,female,unfed
3,6,two,6,T,female,unfed
3,6,two,6,U,female,unfed
3,6,two,6,V,female,unfed
3,6,two,6,W,female,unfed
3,6,two,6,X,female,unfed
